Names	Number	ACC	BLCA	BRCA	CESC	CHOL	COAD	DLBC	ESCA	GBM	HNSC	KICH	KIRC	KIRP	LAML	LGG	LIHC	LUAD	LUSC	MESO	OV	PAAD	PCPG	PRAD	READ	SARC	SKCM	STAD	TGCT	THCA	THYM	UCEC	UCS	UVM
ABRA|137735	8	NA	NA	NA	NA	NA	NA	NA	1.52103846695755	NA	3.81432318275826	NA	NA	NA	NA	-1.27918804180637	NA	NA	NA	2.40220259350475	NA	1.40738632406622	NA	NA	NA	5.3185220198611	NA	2.07362296007086	NA	1.14038571026262	NA	NA	NA	NA
ABTB2|25841	2	NA	NA	-1.58569620572313	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.24652638045436	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACAA2|10449	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.36437512068143	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACACB|32	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.43540925760797	NA	NA	NA	NA	NA	1.05444303167943	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.37449414837188	NA	1.04688976949059	NA	NA	NA	NA
ACAD11|84129	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.29985406809802	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACADL|33	15	2.12693888470195	1.31492584498258	NA	1.38501857867588	NA	NA	NA	1.43132089514976	NA	1.75396140766419	1.21918313953232	NA	NA	NA	1.05612776925861	2.65276570020604	1.55749013580161	NA	NA	NA	1.26325119663771	NA	NA	NA	3.51479288419234	1.5576903838639	1.75856656190322	1.25003131593812	NA	NA	1.10670207069589	NA	NA
ACADM|34	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.52410167889042	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACADSB|36	2	NA	NA	1.59817494837804	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.13637638359191	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACAN|176	9	-2.49056345009935	NA	-2.15877711827537	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.04254307894655	NA	-1.73492157422283	-1.02723497327023	NA	NA	NA	NA	NA	1.03632596319813	NA	NA	1.36311057541497	NA	NA	1.54051959297135	NA	NA	NA	1.90023869503665	NA
ACAP1|9744	5	NA	NA	-1.35222272943673	NA	NA	NA	NA	NA	NA	NA	NA	-1.13428977716231	-1.46130706444711	NA	NA	-1.1411952662806	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.72442410211902
