SampleID	bcr_patient_barcode	AR	ESR1	ESR2	PGR
TCGA-IZ-8196-01	TCGA-IZ-8196	8.8193	3.7717	4.1106	4.7425
TCGA-CR-7370-01	TCGA-CR-7370	4.3164	3.1474	4.8112	3.446
TCGA-GN-A263-01	TCGA-GN-A263	0.0	6.5971	4.5663	2.7383
TCGA-B6-A0RH-01	TCGA-B6-A0RH	8.1741	11.8499	2.5396	10.5705
TCGA-EL-A3ZG-01	TCGA-EL-A3ZG	0.9456	7.9717	2.7792	6.4522
TCGA-EL-A3CR-01	TCGA-EL-A3CR	2.2741	8.7007	2.7928	6.838
TCGA-A8-A07W-01	TCGA-A8-A07W	9.3356	15.0164	2.0628	11.8331
TCGA-QR-A6GY-01	TCGA-QR-A6GY	1.4932	4.4209	1.2396	2.9647
TCGA-VD-A8KA-01	TCGA-VD-A8KA	2.0833	6.6503	2.9888	0.5484
TCGA-YL-A8HJ-01	TCGA-YL-A8HJ	9.2561	8.7938	6.1927	8.9847
TCGA-CV-6960-11	TCGA-CV-6960	3.3441	8.1861	3.0941	1.6572
TCGA-44-6774-01	TCGA-44-6774	5.3562	7.6295	3.4884	6.3718
TCGA-GU-A762-01	TCGA-GU-A762	1.7621	5.3807	3.4016	7.0348
TCGA-2Z-A9JK-01	TCGA-2Z-A9JK	6.1812	5.7942	4.023	6.1594
TCGA-CS-5397-01	TCGA-CS-5397	9.0884	3.7111	4.8857	5.2843
